what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837638516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837638518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837638521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837638523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837638527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837638529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837638540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837638575
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1379837668471
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1379837670651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379837675157
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1379837679007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837699070
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379837699508
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1379837701963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837739966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837762457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837763052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837763671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837798730
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1379837802569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379837812116
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1379837815970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837839231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837839234
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1379837839248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837839250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837855124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837870557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837882585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837896195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837906207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379837916275
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1379837924612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837944677
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1379837945099
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1379837947618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379837988181
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1379838008204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1379838011200
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1379838013748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838054176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838054178
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1379838054192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838054193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838060684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838076444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838078488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838088379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838119402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838120724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838122345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838122956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838223644
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1379838225761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838227253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838326929
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1379838326944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1379838327911
