what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1376661495472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1376661501326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1376661503005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376661505769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376661515062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661519759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661524469
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [3-1.6]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1376661528254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1376661573189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1376661573996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376661585614
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [3-1.6]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1376661590317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1376661605917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1376661606533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1376661609964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1376661621560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1376661621735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376661651871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376661656295
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [3-1.6]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1376661660620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661676899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661706008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661718435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661719013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661720059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661724967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661730412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661734618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661735155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661735667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661736318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661741887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661744818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661837560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661838191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661840418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661849845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661860008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661861782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661863218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376661867139
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [3-1.6]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1376661871654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1376661896859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661898920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1376661952198
